PLAYER_ID,PLAYER_NAME,SHOTS,MADE,FG_PCT,MOMENTUM_SCORE,RANK
1628369,Jayson Tatum,1337,470,0.352,1.885,1
1630169,Tyrese Haliburton,654,265,0.405,1.885,2
1630178,Tyrese Maxey,678,292,0.431,1.876,3
1629027,Trae Young,1070,387,0.362,1.834,4
1630162,Anthony Edwards,1180,428,0.363,1.833,5
203897,Zach LaVine,1019,389,0.382,1.824,6
203944,Julius Randle,1026,338,0.329,1.824,7
202696,Nikola Vučević,678,225,0.332,1.812,8
201566,Russell Westbrook,478,142,0.297,1.807,9
203915,Spencer Dinwiddie,567,208,0.367,1.784,10
1627749,Dejounte Murray,681,229,0.336,1.739,11
1627827,Dorian Finney-Smith,652,249,0.382,1.718,12
1630180,Saddiq Bey,903,312,0.346,1.701,13
1628970,Miles Bridges,465,154,0.331,1.668,14
1628969,Mikal Bridges,573,216,0.377,1.639,15
201942,DeMar DeRozan,284,96,0.338,1.572,16
